카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
가온 워킹업카드,KB국민카드,0,15000,0,국내가맹점: 0.7%적립 | 건강관련: 2.3%추가적립 | 해외이용금액: 3%캐시백
갤러리아 우리카드,우리카드,10000,12000,300000,"갤러리아: 5%할인 | 해외가맹점: 1%할인 | 영화관: 5,000원할인"
갤러리아 체크카드,우리카드,0,0,300000,갤러리아: 5%할인 | 업종별: 0.3~1.5%적립 | 해외가맹점: 1%캐시백
건담 신한카드,신한카드,15000,18000,300000,"건담베이스KR: 10%할인 | CGV: 5,000원할인 | 쇼핑·다이닝·몰링: 10%할인"
골프존 KB국민카드,KB국민카드,12000,17000,300000,골프존: 20%할인 | 골프연습장: 5%할인 | 모든 주유소: 60원/L할인
골프존 롯데카드,롯데카드,10000,15000,400000,스크린골프: 10%청구할인 | 놀이공원: 50%할인 | T.G.I.FRIDAY'S: 10%현장할인
교보문고 롯데체크카드,롯데카드,0,0,0,놀이공원: 50%할인 | 롯데자이언츠: 20%할인 | 미용실 최대: 20%할인
국민행복 체크카드,전북은행,0,0,300000,"병/의원,산후조리원: 3%캐시백 | 대중교통: 3%캐시백 | 이동통신요금: 1,000원캐시백"
국민행복체크카드,제주은행,0,0,300000,"병/의원,조산원,산후조리원: 3%청구할인 | 이동통신요금: 1,000원청구할인 | 커피전문점: 10%청구할인"
국민행복체크카드,BNK부산은행,1000,0,0,임신/출산: 진료비지원 | 의료비: 3%할인 | 커피전문점: 10%할인
국민행복카드,제주은행,0,0,0,"병/의원, 산후조리업종: 5%청구할인 | 의요,육아업종: 1~4%에코머니 적립 | 커피전문점: 20%청구할인"
국민행복카드 체크카드,iM뱅크,0,0,0,의료: 3%캐시백 | 육아/교육: 3%캐시백 | 에코머니 최대: 0.8%적립
그랑블루 1st,우리카드,100000,100000,0,"국내가맹점: 0.5%적립 | 해외, 면세점: 2%특별적립 | 프리미엄기프트: 5만원증정"
그린재킷 체크카드,KB국민카드,0,0,300000,골프연습장: 5%할인 | 골프웨어: 5%할인 | 주유소: 5%할인
기아 챔피언스카드,광주은행,14000,15000,300000,"경기장 입장료: 최대 5천원혜택 | 영화, 커피: 최대 4천원캐시백 | 놀이공원, 레저: 30~50%할인"
나마네카드,아이오로라,0,0,0,NAMANE카드: 리워드제공 | 대중교통: 이용가능 | NAMANE: 나만의카드제작
